skype_image_date,skype_image_cpu_utilization,skype_image_total_power,skype_image_cpu_power,skype_image_gpu_power
2023-10-23 02:30:20,0.08205,15.42656,2.47656,12.95000
2023-10-23 02:30:21,0.03299,17.08281,2.38281,14.70000
2023-10-23 02:30:22,0.07589,16.94969,2.42969,14.52000
2023-10-23 02:30:23,0.09532,16.52000,3.25000,13.27000
2023-10-23 02:30:24,0.04359,16.32187,2.42188,13.90000
2023-10-23 02:30:25,0.04273,16.56375,2.34375,14.22000
2023-10-23 02:30:26,0.12247,45.29281,3.88281,41.41000
2023-10-23 02:30:27,0.02663,45.69594,4.33594,41.36000
2023-10-23 02:30:28,0.11045,46.73531,5.19531,41.54000
2023-10-23 02:30:29,0.07057,46.23469,4.55469,41.68000
2023-10-23 02:30:30,0.01209,45.73094,4.21094,41.52000
2023-10-23 02:30:31,0.00947,45.70750,4.18750,41.52000
2023-10-23 02:30:32,0.01091,46.16750,4.18750,41.98000
2023-10-23 02:30:33,0.01010,45.95000,4.25000,41.70000
2023-10-23 02:30:34,0.00923,45.88750,4.18750,41.70000
2023-10-23 02:30:35,0.00870,45.87531,4.19531,41.68000
2023-10-23 02:30:44,0.04152,46.15250,4.31250,41.84000
2023-10-23 02:30:45,0.07845,46.47500,4.62500,41.85000
2023-10-23 02:30:46,0.04004,46.26000,4.25000,42.01000
2023-10-23 02:30:47,0.01930,46.34500,4.37500,41.97000
2023-10-23 02:30:48,0.07544,47.27187,4.92188,42.35000
2023-10-23 02:30:49,0.10438,47.01969,5.17969,41.84000
2023-10-23 02:30:50,0.02680,46.15906,4.28906,41.87000
2023-10-23 02:30:51,0.05210,46.39875,4.71875,41.68000
2023-10-23 02:30:52,0.00856,47.36531,4.19531,43.17000
2023-10-23 02:30:53,0.07743,46.09406,4.41406,41.68000
2023-10-23 02:30:54,0.04381,46.26125,4.28125,41.98000
2023-10-23 02:30:55,0.06155,45.95344,4.27344,41.68000
2023-10-23 02:30:56,0.09950,47.18594,5.33594,41.85000
2023-10-23 02:30:57,0.04931,46.48312,4.45313,42.03000
2023-10-23 02:30:58,0.03947,46.03156,4.35156,41.68000
2023-10-23 02:30:59,0.10687,47.13625,5.15625,41.98000
2023-10-23 02:31:00,0.03025,46.18719,4.36719,41.82000
2023-10-23 02:31:01,0.12370,47.09781,5.25781,41.84000
2023-10-23 02:31:02,0.06731,46.46687,4.54688,41.92000
2023-10-23 02:31:03,0.01494,45.93000,4.25000,41.68000
2023-10-23 02:31:04,0.01125,46.04531,4.19531,41.85000
2023-10-23 02:31:06,0.01091,46.13281,4.13281,42.00000
2023-10-23 02:31:07,0.01347,45.85625,4.15625,41.70000
2023-10-23 02:31:08,0.01347,46.06656,4.22656,41.84000
2023-10-23 02:31:09,0.00784,46.04531,4.19531,41.85000
2023-10-23 02:31:17,0.13095,41.37188,5.42188,35.95000
2023-10-23 02:31:18,0.07660,40.01000,4.00000,36.01000
2023-10-23 02:31:19,0.05348,39.43687,4.04688,35.39000
2023-10-23 02:31:20,0.03927,38.93687,3.79688,35.14000
2023-10-23 02:31:21,0.02805,32.19344,3.77344,28.42000
2023-10-23 02:31:22,0.05927,32.02687,3.54688,28.48000
2023-10-23 02:31:23,0.08922,32.95719,4.11719,28.84000
2023-10-23 02:31:24,0.17819,19.92750,4.18750,15.74000
2023-10-23 02:31:25,0.04047,32.36094,3.21094,29.15000
2023-10-23 02:31:26,0.06979,31.83406,3.41406,28.42000
2023-10-23 02:31:27,0.04167,31.70687,3.29688,28.41000
2023-10-23 02:31:28,0.08221,31.90469,3.55469,28.35000
2023-10-23 02:31:29,0.07860,32.46687,4.04688,28.42000
2023-10-23 02:31:30,0.00839,31.60969,3.17969,28.43000
2023-10-23 02:31:31,0.00783,31.44969,3.17969,28.27000
2023-10-23 02:31:32,0.14014,32.90031,4.32031,28.58000
2023-10-23 02:31:33,0.03881,31.82063,3.39063,28.43000
2023-10-23 02:31:34,0.10585,32.45531,4.19531,28.26000
2023-10-23 02:31:35,0.04451,31.67969,3.42969,28.25000
2023-10-23 02:31:37,0.07935,31.80344,3.52344,28.28000
2023-10-23 02:31:38,0.01389,31.62531,3.19531,28.43000
2023-10-23 02:31:39,0.00962,31.47313,3.20313,28.27000
2023-10-23 02:31:40,0.01373,31.47875,3.21875,28.26000
2023-10-23 02:31:41,0.01661,31.53344,3.27344,28.26000
2023-10-23 02:31:42,0.01152,31.64094,3.21094,28.43000
2023-10-23 02:31:50,0.03878,46.20719,4.36719,41.84000
2023-10-23 02:31:51,0.06130,46.33094,4.46094,41.87000
2023-10-23 02:31:52,0.02900,46.13625,4.40625,41.73000
2023-10-23 02:31:53,0.03131,46.36562,4.51563,41.85000
2023-10-23 02:31:54,0.01238,46.06906,4.28906,41.78000
2023-10-23 02:31:55,0.18684,47.70719,5.86719,41.84000
2023-10-23 02:31:56,0.06491,47.06813,4.57813,42.49000
2023-10-23 02:31:57,0.03918,46.19188,4.67188,41.52000
2023-10-23 02:31:58,0.02424,46.25125,4.28125,41.97000
2023-10-23 02:31:59,0.06121,46.24969,4.42969,41.82000
2023-10-23 02:32:00,0.03464,46.27813,4.32813,41.95000
2023-10-23 02:32:01,0.07051,46.47719,4.36719,42.11000
2023-10-23 02:32:02,0.01979,46.04125,4.28125,41.76000
2023-10-23 02:32:03,0.13052,47.23063,5.39063,41.84000
2023-10-23 02:32:05,0.06061,46.26250,4.56250,41.70000
2023-10-23 02:32:06,0.12079,47.20313,5.20313,42.00000
2023-10-23 02:32:07,0.03232,46.22625,4.40625,41.82000
2023-10-23 02:32:08,0.09722,47.04562,5.01563,42.03000
2023-10-23 02:32:09,0.09672,46.54531,4.69531,41.85000
2023-10-23 02:32:10,0.04511,46.14812,4.32813,41.82000
2023-10-23 02:32:11,0.06985,39.23063,4.14063,35.09000
2023-10-23 02:32:12,0.01125,38.93656,3.72656,35.21000
2023-10-23 02:32:13,0.01076,32.04063,3.64063,28.40000
2023-10-23 02:32:14,0.00588,31.28188,3.17188,28.11000
2023-10-23 02:32:15,0.01095,31.63875,3.21875,28.42000
2023-10-23 02:32:23,0.10631,40.80469,4.80469,36.00000
2023-10-23 02:32:24,0.02825,39.89281,3.88281,36.01000
