element_image_date,element_image_cpu_utilization,element_image_total_power,element_image_cpu_power,element_image_gpu_power
2023-10-23 23:43:09,0.07485,47.29469,4.80469,42.49000
2023-10-23 23:43:10,0.01277,46.18117,4.20117,41.98000
2023-10-23 23:43:11,0.01043,46.02164,4.18164,41.84000
2023-10-23 23:43:12,0.00927,45.99453,4.14453,41.85000
2023-10-23 23:43:13,0.01682,38.82172,3.76172,35.06000
2023-10-23 23:43:14,0.00587,38.87234,3.65234,35.22000
2023-10-23 23:43:23,0.11933,47.14977,4.75977,42.39000
2023-10-23 23:43:24,0.05981,40.33672,4.13672,36.20000
2023-10-23 23:43:25,0.01448,39.76586,3.75586,36.01000
2023-10-23 23:43:26,0.00675,39.37969,3.67969,35.70000
2023-10-23 23:43:27,0.02373,38.79414,3.74414,35.05000
2023-10-23 23:43:28,0.01326,38.75359,3.68359,35.07000
2023-10-23 23:43:29,0.01855,32.55109,3.37109,29.18000
2023-10-23 23:43:30,0.06577,32.16071,3.72070,28.44000
2023-10-23 23:43:31,0.01254,22.29156,3.10156,19.19000
2023-10-23 23:43:32,0.06862,18.24781,2.50781,15.74000
2023-10-23 23:43:33,0.03385,21.10570,2.34570,18.76000
2023-10-23 23:43:34,0.06922,15.22531,2.44531,12.78000
2023-10-23 23:43:35,0.02202,15.37156,2.10156,13.27000
2023-10-23 23:43:36,0.00549,14.42133,2.11133,12.31000
2023-10-23 23:43:37,0.00771,15.86305,2.12305,13.74000
2023-10-23 23:43:38,0.12152,15.91625,3.15625,12.76000
2023-10-23 23:43:39,0.01371,15.46484,2.21484,13.25000
2023-10-23 23:43:41,0.10952,15.80727,3.19727,12.61000
2023-10-23 23:43:42,0.08122,44.67141,2.69141,41.98000
2023-10-23 23:43:43,0.12233,47.77914,5.11914,42.66000
2023-10-23 23:43:44,0.07395,46.20602,4.66602,41.54000
2023-10-23 23:43:45,0.01926,45.70945,4.18945,41.52000
2023-10-23 23:43:46,0.01005,45.83867,4.13867,41.70000
2023-10-23 23:43:47,0.01176,45.89922,4.19922,41.70000
2023-10-23 23:43:48,0.00931,45.65524,4.11523,41.54000
2023-10-23 23:43:49,0.01844,46.05484,4.21484,41.84000
2023-10-23 23:43:50,0.01334,45.91352,4.10352,41.81000
2023-10-23 23:43:58,0.00670,46.13086,4.13086,42.00000
2023-10-23 23:43:59,0.01682,46.06484,4.21484,41.85000
2023-10-23 23:44:00,0.01179,46.14476,4.13477,42.01000
